prompt_id,model,content_type,length_tier,token_count,gold_answer,n_samples_attempted,n_valid_samples,pct_unparseable,answer_mean,answer_sd,answer_variance,answer_cv,frac_correct,mean_logprob_entropy_first_k,mean_answer_token_entropy,n_entropy_first_k_obs,n_answer_token_entropy_obs,low_n_flag
gsm8k_0__paraphrase_scaffold__t2,openai/gpt-4o-mini,paraphrase_scaffold,2,302,18.0,15,1,0.9333333333333333,18.0,,,,,0.5376957259374036,8.510826579214408e-08,15,1,True
gsm8k_10__control__t0,openai/gpt-4.1-mini,control,0,58,366.0,15,0,1.0,,,,,,0.25725590884579536,,15,0,True
gsm8k_10__control__t0,openai/gpt-4.1-nano,control,0,58,366.0,15,14,0.06666666666666665,366.0,0.0,0.0,0.0,1.0,0.24754838237512805,0.00021378657512420929,15,14,False
gsm8k_10__control__t0,openai/gpt-4o-mini,control,0,58,366.0,15,12,0.19999999999999996,366.0,0.0,0.0,0.0,1.0,0.31227853559931806,2.765217465636073e-06,15,12,False
gsm8k_10__filler__t2,openai/gpt-4.1-mini,filler,2,309,366.0,15,1,0.9333333333333333,366.0,,,,,0.273497818068597,1.1748805212997278e-06,15,1,True
gsm8k_10__filler__t2,openai/gpt-4.1-nano,filler,2,309,366.0,15,15,0.0,366.0,0.0,0.0,0.0,1.0,0.2271002134383878,0.00027807759674979595,15,15,False
gsm8k_10__filler__t2,openai/gpt-4o-mini,filler,2,309,366.0,15,11,0.2666666666666667,366.0,0.0,0.0,0.0,1.0,0.2950717900190215,2.5693893863421587e-06,15,11,False
gsm8k_10__paraphrase_only__t2,openai/gpt-4.1-mini,paraphrase_only,2,156,366.0,15,0,1.0,,,,,,0.26260270317126766,,15,0,True
gsm8k_10__paraphrase_only__t2,openai/gpt-4.1-nano,paraphrase_only,2,156,366.0,15,7,0.5333333333333333,366.0,0.0,0.0,0.0,1.0,0.2852132886731316,6.330686001864275e-05,15,7,False
gsm8k_10__paraphrase_only__t2,openai/gpt-4o-mini,paraphrase_only,2,156,366.0,15,11,0.2666666666666667,366.0,0.0,0.0,0.0,1.0,0.3247772533476615,8.744791033030039e-07,15,11,False
gsm8k_10__paraphrase_scaffold__t2,openai/gpt-4.1-mini,paraphrase_scaffold,2,292,366.0,15,2,0.8666666666666667,366.0,0.0,0.0,0.0,1.0,0.4667286502634782,3.540891782919974e-07,15,2,True
gsm8k_10__paraphrase_scaffold__t2,openai/gpt-4.1-nano,paraphrase_scaffold,2,292,366.0,15,14,0.06666666666666665,348.85714285714283,64.14269805898185,4114.285714285714,0.18386522785129933,0.9285714285714286,0.4031274696377546,0.051352123011802676,15,14,False
gsm8k_10__paraphrase_scaffold__t2,openai/gpt-4o-mini,paraphrase_scaffold,2,292,366.0,15,9,0.4,366.0,0.0,0.0,0.0,1.0,0.48535301020817095,3.6071809918818665e-05,15,9,False
gsm8k_13__control__t0,openai/gpt-4.1-mini,control,0,58,18.0,15,6,0.6,15.5,6.123724356957945,37.5,0.39507899077148034,0.8333333333333334,0.13594295592588604,1.9330523136272364e-08,15,6,False
gsm8k_13__control__t0,openai/gpt-4.1-nano,control,0,58,18.0,15,4,0.7333333333333334,5.0,4.69041575982343,22.0,0.938083151964686,0.0,0.2359637975707929,1.0180494304543468e-06,15,4,True
gsm8k_13__control__t0,openai/gpt-4o-mini,control,0,58,18.0,15,2,0.8666666666666667,3.5,3.5355339059327378,12.5,1.0101525445522108,0.0,0.1964656916506184,9.305166560805619e-06,15,2,True
gsm8k_13__filler__t2,openai/gpt-4.1-mini,filler,2,309,18.0,15,10,0.33333333333333337,18.0,0.0,0.0,0.0,1.0,0.12079192182267322,5.644244620875924e-09,15,10,False
gsm8k_13__filler__t2,openai/gpt-4.1-nano,filler,2,309,18.0,15,6,0.6,10.166666666666666,8.588752334691383,73.76666666666668,0.8447953116089886,0.5,0.2253734169597012,0.0006945928886216961,15,6,False
gsm8k_13__filler__t2,openai/gpt-4o-mini,filler,2,309,18.0,15,1,0.9333333333333333,3.0,,,,,0.1357782249988939,1.872071986630768e-09,15,1,True
gsm8k_13__paraphrase_only__t2,openai/gpt-4.1-mini,paraphrase_only,2,154,18.0,15,7,0.5333333333333333,15.714285714285714,6.047431568147636,36.57142857142858,0.38483655433666775,0.8571428571428571,0.16845537313903095,1.6278818782205523e-08,15,7,False
gsm8k_13__paraphrase_only__t2,openai/gpt-4.1-nano,paraphrase_only,2,154,18.0,15,6,0.6,12.083333333333334,7.310380747038192,53.44166666666666,0.6049970273410917,0.5,0.19090788855965124,0.004658156727018145,15,6,False
gsm8k_13__paraphrase_only__t2,openai/gpt-4o-mini,paraphrase_only,2,154,18.0,15,3,0.8,7.0,9.539392014169456,91.0,1.3627702877384937,0.3333333333333333,0.1790422999136191,2.7730242133740735e-06,15,3,True
gsm8k_13__paraphrase_scaffold__t2,openai/gpt-4.1-mini,paraphrase_scaffold,2,290,18.0,15,3,0.8,5.666666666666667,4.041451884327381,16.333333333333332,0.7131973913518906,0.0,0.5308859004764511,2.4354661728042386e-06,15,3,True
gsm8k_13__paraphrase_scaffold__t2,openai/gpt-4.1-nano,paraphrase_scaffold,2,290,18.0,15,4,0.7333333333333334,2.0,0.0,0.0,0.0,0.0,0.42581619648645636,5.125237887852329e-06,15,4,True
gsm8k_13__paraphrase_scaffold__t2,openai/gpt-4o-mini,paraphrase_scaffold,2,290,18.0,15,2,0.8666666666666667,2.5,0.7071067811865476,0.5,0.282842712474619,0.0,0.3348534704226857,3.5575520933911287e-06,15,2,True
gsm8k_15__control__t0,openai/gpt-4.1-mini,control,0,90,125.0,15,1,0.9333333333333333,125.0,,,,,0.45810072380885625,3.923509576907141e-06,15,1,True
gsm8k_15__control__t0,openai/gpt-4.1-nano,control,0,90,125.0,15,0,1.0,,,,,,0.4547716046571322,,15,0,True
gsm8k_15__control__t0,openai/gpt-4o-mini,control,0,90,125.0,15,1,0.9333333333333333,125.0,,,,,0.44620682339451206,1.4425382880883824e-05,15,1,True
gsm8k_15__filler__t2,openai/gpt-4.1-mini,filler,2,341,125.0,15,2,0.8666666666666667,125.0,0.0,0.0,0.0,1.0,0.46697679834608447,3.1512330544880933e-06,15,2,True
gsm8k_15__filler__t2,openai/gpt-4.1-nano,filler,2,341,125.0,15,0,1.0,,,,,,0.3737762225632177,,15,0,True
gsm8k_15__filler__t2,openai/gpt-4o-mini,filler,2,341,125.0,15,1,0.9333333333333333,125.0,,,,,0.46748084865558914,0.0001460132631959456,15,1,True
gsm8k_15__paraphrase_only__t2,openai/gpt-4.1-mini,paraphrase_only,2,220,125.0,15,0,1.0,,,,,,0.5038173991565325,,15,0,True
gsm8k_15__paraphrase_only__t2,openai/gpt-4.1-nano,paraphrase_only,2,220,125.0,15,0,1.0,,,,,,0.4195776183207591,,15,0,True
gsm8k_15__paraphrase_only__t2,openai/gpt-4o-mini,paraphrase_only,2,220,125.0,15,1,0.9333333333333333,125.0,,,,,0.43238837088292087,7.785098115263065e-07,15,1,True
gsm8k_15__paraphrase_scaffold__t2,openai/gpt-4.1-mini,paraphrase_scaffold,2,332,125.0,15,1,0.9333333333333333,125.0,,,,,0.4807763307314608,6.772147136164974e-09,15,1,True
gsm8k_15__paraphrase_scaffold__t2,openai/gpt-4.1-nano,paraphrase_scaffold,2,332,125.0,15,0,1.0,,,,,,0.49183835862510217,,15,0,True
gsm8k_15__paraphrase_scaffold__t2,openai/gpt-4o-mini,paraphrase_scaffold,2,332,125.0,15,2,0.8666666666666667,110.5,20.506096654409877,420.5,0.18557553533402604,0.5,0.5731749877095937,1.840562927374704e-05,15,2,True
gsm8k_18__control__t0,openai/gpt-4.1-mini,control,0,29,7.0,15,0,1.0,,,,,,0.27454485773010545,,15,0,True
gsm8k_18__control__t0,openai/gpt-4.1-nano,control,0,29,7.0,15,15,0.0,7.0,0.0,0.0,0.0,1.0,0.23326709676228374,7.88409018878132e-06,15,15,False
gsm8k_18__control__t0,openai/gpt-4o-mini,control,0,29,7.0,15,1,0.9333333333333333,7.0,,,,,0.16716939292795346,2.689014859400843e-07,15,1,True
gsm8k_18__filler__t2,openai/gpt-4.1-mini,filler,2,280,7.0,15,0,1.0,,,,,,0.22471065114506977,,15,0,True
gsm8k_18__filler__t2,openai/gpt-4.1-nano,filler,2,280,7.0,15,9,0.4,7.0,0.0,0.0,0.0,1.0,0.2963599973341224,2.498551894289184e-05,15,9,False
gsm8k_18__filler__t2,openai/gpt-4o-mini,filler,2,280,7.0,15,0,1.0,,,,,,0.16906322466134602,,15,0,True
gsm8k_18__paraphrase_only__t2,openai/gpt-4.1-mini,paraphrase_only,2,96,7.0,15,0,1.0,,,,,,0.2295108795455482,,15,0,True
gsm8k_18__paraphrase_only__t2,openai/gpt-4.1-nano,paraphrase_only,2,96,7.0,15,0,1.0,,,,,,0.24138020376614974,,15,0,True
gsm8k_18__paraphrase_only__t2,openai/gpt-4o-mini,paraphrase_only,2,96,7.0,15,0,1.0,,,,,,0.1294328219447969,,15,0,True
gsm8k_18__paraphrase_scaffold__t2,openai/gpt-4.1-mini,paraphrase_scaffold,2,273,7.0,15,0,1.0,,,,,,0.4363027052920763,,15,0,True
gsm8k_18__paraphrase_scaffold__t2,openai/gpt-4.1-nano,paraphrase_scaffold,2,273,7.0,15,3,0.8,7.0,0.0,0.0,0.0,1.0,0.43223491022952315,8.786616063588429e-05,15,3,True
gsm8k_18__paraphrase_scaffold__t2,openai/gpt-4o-mini,paraphrase_scaffold,2,273,7.0,15,1,0.9333333333333333,7.0,,,,,0.4956308540351317,1.4396005413282656e-07,15,1,True
gsm8k_1__control__t0,openai/gpt-4.1-mini,control,0,26,3.0,15,2,0.8666666666666667,3.0,0.0,0.0,0.0,1.0,0.20175363239768415,2.4613948504966836e-07,15,2,True
gsm8k_1__control__t0,openai/gpt-4.1-nano,control,0,26,3.0,15,15,0.0,3.0,0.0,0.0,0.0,1.0,0.27426840773282773,0.0016375073608861743,15,15,False
gsm8k_1__control__t0,openai/gpt-4o-mini,control,0,26,3.0,15,0,1.0,,,,,,0.3739007813009084,,15,0,True
gsm8k_1__filler__t2,openai/gpt-4.1-mini,filler,2,277,3.0,15,2,0.8666666666666667,3.0,0.0,0.0,0.0,1.0,0.25898863159027546,3.6664854399685963e-06,15,2,True
gsm8k_1__filler__t2,openai/gpt-4.1-nano,filler,2,277,3.0,15,15,0.0,3.0,0.0,0.0,0.0,1.0,0.2351329814429755,3.297259371554285e-05,15,15,False
gsm8k_1__filler__t2,openai/gpt-4o-mini,filler,2,277,3.0,15,0,1.0,,,,,,0.42067373018886844,,15,0,True
gsm8k_1__paraphrase_only__t2,openai/gpt-4.1-mini,paraphrase_only,2,92,3.0,15,6,0.6,3.0,0.0,0.0,0.0,1.0,0.22134868811786934,4.820804565462108e-07,15,6,False
gsm8k_1__paraphrase_only__t2,openai/gpt-4.1-nano,paraphrase_only,2,92,3.0,15,2,0.8666666666666667,3.0,0.0,0.0,0.0,1.0,0.2705315289576795,2.3870388067634363e-05,15,2,True
gsm8k_1__paraphrase_only__t2,openai/gpt-4o-mini,paraphrase_only,2,92,3.0,15,0,1.0,,,,,,0.3340525870487912,,15,0,True
gsm8k_1__paraphrase_scaffold__t2,openai/gpt-4.1-mini,paraphrase_scaffold,2,269,3.0,15,0,1.0,,,,,,0.42083829321169575,,15,0,True
gsm8k_1__paraphrase_scaffold__t2,openai/gpt-4.1-nano,paraphrase_scaffold,2,269,3.0,15,1,0.9333333333333333,3.0,,,,,0.3634690400722872,1.8891716733760448e-06,15,1,True
gsm8k_1__paraphrase_scaffold__t2,openai/gpt-4o-mini,paraphrase_scaffold,2,269,3.0,15,3,0.8,3.0,0.0,0.0,0.0,1.0,0.4891653886856944,8.774247048764869e-08,15,3,True
gsm8k_21__control__t0,openai/gpt-4.1-mini,control,0,44,14.0,15,1,0.9333333333333333,14.0,,,,,0.22709777381575008,8.129704948277939e-09,15,1,True
gsm8k_21__control__t0,openai/gpt-4.1-nano,control,0,44,14.0,15,6,0.6,14.0,0.0,0.0,0.0,1.0,0.26227103977465777,3.711930727668408e-06,15,6,False
gsm8k_21__control__t0,openai/gpt-4o-mini,control,0,44,14.0,15,6,0.6,14.0,0.0,0.0,0.0,1.0,0.33116665772118825,1.7931671727522222e-08,15,6,False
gsm8k_21__filler__t2,openai/gpt-4.1-mini,filler,2,294,14.0,15,0,1.0,,,,,,0.2369399219970642,,15,0,True
gsm8k_21__filler__t2,openai/gpt-4.1-nano,filler,2,294,14.0,15,3,0.8,14.0,0.0,0.0,0.0,1.0,0.25912623615250296,2.0343213458059035e-06,15,3,True
gsm8k_21__filler__t2,openai/gpt-4o-mini,filler,2,294,14.0,15,0,1.0,,,,,,0.23118859227065267,,15,0,True
gsm8k_21__paraphrase_only__t2,openai/gpt-4.1-mini,paraphrase_only,2,126,14.0,15,0,1.0,,,,,,0.17680066283048312,,15,0,True
gsm8k_21__paraphrase_only__t2,openai/gpt-4.1-nano,paraphrase_only,2,126,14.0,15,2,0.8666666666666667,14.0,0.0,0.0,0.0,1.0,0.22874775670419967,1.8012614100973798e-06,15,2,True
gsm8k_21__paraphrase_only__t2,openai/gpt-4o-mini,paraphrase_only,2,126,14.0,15,1,0.9333333333333333,14.0,,,,,0.3179335597657079,5.98379634460526e-08,15,1,True
gsm8k_21__paraphrase_scaffold__t2,openai/gpt-4.1-mini,paraphrase_scaffold,2,282,14.0,15,1,0.9333333333333333,14.0,,,,,0.4148545894452408,2.0946338284628038e-05,15,1,True
gsm8k_21__paraphrase_scaffold__t2,openai/gpt-4.1-nano,paraphrase_scaffold,2,282,14.0,15,6,0.6,15.5,3.6742346141747673,13.5,0.23704739446288822,0.8333333333333334,0.4133479879176663,0.0026803010006062745,15,6,False
gsm8k_21__paraphrase_scaffold__t2,openai/gpt-4o-mini,paraphrase_scaffold,2,282,14.0,15,4,0.7333333333333334,14.0,0.0,0.0,0.0,1.0,0.4616535158295655,9.396253268260977e-09,15,4,True
gsm8k_2__control__t0,openai/gpt-4.1-mini,control,0,49,70000.0,15,1,0.9333333333333333,70000.0,,,,,0.31881306539150545,1.2909822987732568e-09,15,1,True
gsm8k_2__control__t0,openai/gpt-4.1-nano,control,0,49,70000.0,15,0,1.0,,,,,,0.280961289324299,,15,0,True
gsm8k_2__control__t0,openai/gpt-4o-mini,control,0,49,70000.0,15,1,0.9333333333333333,70000.0,,,,,0.3104277767628914,2.3641244082577205e-10,15,1,True
gsm8k_2__filler__t2,openai/gpt-4.1-mini,filler,2,300,70000.0,15,1,0.9333333333333333,70000.0,,,,,0.27112344262416405,2.349268575006288e-10,15,1,True
gsm8k_2__filler__t2,openai/gpt-4.1-nano,filler,2,300,70000.0,15,0,1.0,,,,,,0.27204647684905336,,15,0,True
gsm8k_2__filler__t2,openai/gpt-4o-mini,filler,2,300,70000.0,15,0,1.0,,,,,,0.2992784484337612,,15,0,True
gsm8k_2__paraphrase_only__t2,openai/gpt-4.1-mini,paraphrase_only,2,138,70000.0,15,5,0.6666666666666667,70000.0,0.0,0.0,0.0,1.0,0.2065400814664905,1.4455177790850244e-10,15,5,False
gsm8k_2__paraphrase_only__t2,openai/gpt-4.1-nano,paraphrase_only,2,138,70000.0,15,0,1.0,,,,,,0.24042256558609815,,15,0,True
gsm8k_2__paraphrase_only__t2,openai/gpt-4o-mini,paraphrase_only,2,138,70000.0,15,0,1.0,,,,,,0.2511319742098707,,15,0,True
gsm8k_2__paraphrase_scaffold__t2,openai/gpt-4.1-mini,paraphrase_scaffold,2,274,70000.0,15,0,1.0,,,,,,0.4400044999782817,,15,0,True
gsm8k_2__paraphrase_scaffold__t2,openai/gpt-4.1-nano,paraphrase_scaffold,2,274,70000.0,15,0,1.0,,,,,,0.4441800666158906,,15,0,True
gsm8k_2__paraphrase_scaffold__t2,openai/gpt-4o-mini,paraphrase_scaffold,2,274,70000.0,15,1,0.9333333333333333,120000.0,,,,,0.5254694770125364,1.019979254202698e-08,15,1,True
